EIS Number,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,EIS Comment Due/Review Period Due,Agency,State,Download Documents,Document Link,Contact Name,Contact Phone
20180108,San Juan Mine Deep Lease Extension Mining Plan Modification Draft Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250225,Draft,,5/25/18,7/9/18,Office of Surface Mining,NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250225,Gretchen Pinkham,303-293-5088
20180107,Draft Environmental Impact Statement for Jonah Crab Fishery Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250195,Draft,,5/25/18,8/17/18,National Oceanic and Atmospheric Administration,MA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250195,Allison Murphy,978-281-9122
20180106,Ringo FEIS & FPA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250181,Final,,5/25/18,6/25/18,Forest Service,OR,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250181,Joseph Bowles,541-433-3209
20180105,Final Supplemental Environmental Statement for the Proposed Amendment to the Endangered Species Act 10(a)(1)(B) Permit Associated with the Montana Department of Natural Resources and Conservation Forested State Trust Lands Habitat Conservation Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250131,Final Supplement,,5/25/18,6/25/18,Fish and Wildlife Service,MT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250131,Amelia Orton-Palmer,303-236-4211
20180104,Final Environmental Impact Statement for the Enefit American Oil Utility Corridor Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250081,Final,,5/25/18,7/9/18,Bureau of Land Management,UT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250081,Stephanie Howard,435 781-4469
20180103,Otay River Estuary Restoration Project/South San Diego Bay Unit of the San Diego Bay National Wildlife Refuge (California),https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249984,Final,,5/21/18,6/21/18,Fish and Wildlife Service,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249984,Brian Collins,619-575-2704
20180102,Coral Habitat Areas Considered for Habitat Areas of Particular Concern Designation in the Gulf of Mexico,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249965,Draft,,5/21/18,7/5/18,National Marine Fisheries Service,TX - MS - LA - AL - FL,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249965,Lauren Waters,727-209-5991
20180101,SR 710 North Study FRDEIR/SDEIS_05-09-18,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249949,Draft Supplement,,5/21/18,7/5/18,California Department of Transit,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249949,Jason Roach,213-897-0357
20180100,CP District-wide Salvage Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249904,Final,,5/21/18,7/5/18,Forest Service,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249904,Mike Tooley,719-274-6321
20180099,Tucson International Airport - Airfield Safety Enhancement Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249854,Draft,,5/21/18,7/9/18,Federal Aviation Administration,AZ,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249854,David B. Kessler AICP,310-725-3615
20180098,Starry Goat,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249842,Final,,5/21/18,6/21/18,Forest Service,MT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249842,Lisa Osborn,406-295-7426
20180097,Travel Management - Rico West Dolores Roads and Trails Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249791,Final,,5/21/18,6/21/18,Forest Service,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249791,Deborah Kill,970-882-6822
20180096,Palen Solar Project (formerly Palen Solar Power Project) Final Supplemental Environmental Impact Statement/ Environmental Impact Report/ Land Use Plan Amendment,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249696,Final Supplement,,5/21/18,6/21/18,Bureau of Land Management,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249696,Mark DeMaio,760-833-7124
20180095,Final Environmental Impact Statement/Environmental Impact Report for the South Sacramento Habitat Conservation Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249582,Final,,5/21/18,6/21/18,Fish and Wildlife Service,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249582,Nina Bicknese,916-414-6633
20180094,Supplement to the Final EIS for Invasive Plant Control Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249649,Final Supplement,,5/11/18,6/11/18,Forest Service,NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249649,Sandra Imler-Jacquez,505-438-5443
20180093,Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249641,Final,,5/11/18,6/11/18,Forest Service,NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249641,Larry Gore,575-289-3264
20180092,Luna Restoration Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249503,Draft,,5/11/18,6/25/18,Forest Service,AZ - NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249503,Emily Irwin,575-773-4678
20180091,Draft Environment Impact Statement for the Blue Valley Ranch Land Exchange,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249492,Draft,,5/11/18,6/25/18,Bureau of Land Management,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249492,Annie Sperandio,970-724-3062
20180090,Amendment 8 to the Atlantic Herring Fishery Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249449,Draft,,5/11/18,6/25/18,National Marine Fisheries Service,RI - NY - NJ - NH - ME - CT - MA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249449,Carrie Nordeen,978-281-9272
20180089,Mather Specific Plan Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249415,Final,,5/11/18,6/11/18,U.S. Army Corps of Engineers,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249415,Mary Pakenham-Walsh,916-557-7718
20180088,U.S. Highway 85_I-94 Interchange to Watford City Bypass (McKenzie County Road 30),https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249400,Draft,,5/11/18,6/25/18,Federal Highway Administration,ND,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249400,Kevin Brodie,701-221-9467
20180087,Southern Gardens Citrus Nursery/LLC Permit to Release Genetically Engineered Citrus tristeza virus Draft Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249392,Draft,,5/11/18,6/25/18,Department of Agriculture,NAT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249392,Dr. Sidney Abel,301-851-3896
20180086,Final Environmental Impact Statement for Glade Rangeland Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249341,Final,,5/11/18,6/11/18,Forest Service,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249341,Deborah Kill,970 882-6822
20180085,Nevada and Northeastern California Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249039,Draft,,5/4/18,8/2/18,Bureau of Land Management,CA - NV,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249039,Matt Magaletti,775-861-6472
20180084,Northwest Colorado Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249029,Draft,,5/4/18,8/2/18,Bureau of Land Management,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249029,Bridget Clayton,970-244-3045
20180083,Idaho Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249034,Draft,,5/4/18,8/2/18,Bureau of Land Management,ID,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249034,Jonathan Beck,208-373-3841
20180082,Oregon Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249045,Draft,,5/4/18,8/2/18,Bureau of Land Management,OR,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249045,Jim Regan-Vienop,503-808-6062
20180081,Utah Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249060,Draft,,5/4/18,8/2/18,Bureau of Land Management,UT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249060,Quincy Bahr,801-539-4122
20180080,Wyoming Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249065,Draft,,5/4/18,8/2/18,Bureau of Land Management,WY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249065,Jennifer Fleuret,307-775-6329
20180079,Prince of Wales Landscape Level Analysis Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249177,Draft,,5/4/18,6/18/18,Forest Service,AK,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249177,Delilah Brigham,907-828-3232
20180078,Oakhill Parkway,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249129,Draft,,5/4/18,6/18/18,Texas Department of Transportation,TX,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249129,Carlos Swonke,5124162734
20180077,Olympic National Park Mountain Goat Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249116,Final,,5/4/18,6/4/18,National Park Service,WA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249116,Christina Miller,360-565-3004
20180076,Shawnee Fossil Plant Coal Combustion Residual Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249107,Draft Supplement,,5/4/18,6/18/18,Tennessee Valley Authority,KY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249107,Ashley Pilakowski,865-632-2256
20180075,Pure Water San Diego Program/North City Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248425,Final,,5/4/18,6/4/18,Bureau of Reclamation,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248425,Doug McPherson,(951) 695-5310
20180074,Saline Valley Warm Springs Management Plan and Draft EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248913,Draft,,5/4/18,7/2/18,National Park Service,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248913,Kelly Daigle,3039876897
20180073,NASA WFF Site-wide Programmatic Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248921,Draft,,5/4/18,6/18/18,National Aeronautics and Space Administration,VA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248921,Shari A. Miller,757-824-2327
20180071,Environmental Impact Statement for an Early Site Permit (ESP) at the Clinch River Nuclear Site: Draft Report for Comment,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248360,Draft,,4/27/18,7/13/18,Nuclear Regulatory Commission,VA - MD - DC - TN,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248360,Patricia Vokoun,301-415-3470
20180070,Squaw Valley to Alpine Meadows Base to Base Gondola,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248376,Draft,,4/27/18,6/11/18,Forest Service,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248376,Joseph Flannery,530-587-3558
20180069,Acadia National Park Draft Transportation Plan and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248343,Draft,,4/27/18,6/26/18,National Park Service,ME,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248343,John Kelly,(207) 288-8703
20180068,Fruit Fly Cooperative Control Program,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248298,Draft,,4/27/18,6/11/18,Animal and Plant Health Inspection Service,NAT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248298,Jim E. Warren Ph.D.,2023163216
20180066,DART Cotton Belt Corridor Regional Rail Project DEIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247663,Draft,,4/20/18,6/4/18,Federal Transit Administration,TX,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=247663,Melissa Foreman,817-978-0554
20180063,Kachess Drought Relief Pumping Plant and Keechelus Reservoir-to-Kachess Reservoir Conveyance (KDRPP/KKC) Projects Supplemental Draft Environmental Impact Statement/Kittitas and Yakima Counties Washington,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247355,Draft Supplement,,4/13/18,7/11/18,Bureau of Reclamation,WA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=247355,Candace McKinley,509-575-5848
20180042,West Route Network Project Draft Supplemental Environmental Impact Statement_WMRNP_DSEIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246154,Draft Supplement,,3/16/18,6/14/18,Bureau of Land Management,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=246154,Matthew Toedtli,404-426-1854
20180031,Greater Chapita Wells Natural Gas Infill Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245247,Draft,,3/9/18,6/7/18,Bureau of Land Management,UT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=245247,Stephanie Howard,435-781-4469
20180028,State Route 269 Bridge Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245130,Final,,3/2/18,9/4/18,California Department of Transit,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=245130,Jeff Sorensen,559 445-5329
