EIS ID,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,Document Link,Comment Due Date,Contact Name,Contact Number
20180108,San Juan Mine Deep Lease Extension Mining Plan Modification Draft Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250225,Draft,,5/25/18,Office of Surface Mining,NM,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250225,7/9/18,Gretchen Pinkham,303-293-5088
20180107,Draft Environmental Impact Statement for Jonah Crab Fishery Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250195,Draft,,5/25/18,National Oceanic and Atmospheric Administration,MA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250195,8/17/18,Allison Murphy,978-281-9122
20180106,Ringo FEIS & FPA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250181,Final,,5/25/18,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250181,6/25/18,Joseph Bowles,541-433-3209
20180105,Final Supplemental Environmental Statement for the Proposed Amendment to the Endangered Species Act 10(a)(1)(B) Permit Associated with the Montana Department of Natural Resources and Conservation Forested State Trust Lands Habitat Conservation Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250131,Final Supplement,,5/25/18,Fish and Wildlife Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250131,6/25/18,Amelia Orton-Palmer,303-236-4211
20180104,Final Environmental Impact Statement for the Enefit American Oil Utility Corridor Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250081,Final,,5/25/18,Bureau of Land Management,UT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250081,7/9/18,Stephanie Howard,435 781-4469
20180103,"Otay River Estuary Restoration Project, South San Diego Bay Unit of the San Diego Bay National Wildlife Refuge, California; Final Environmental Impact Statement",https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249984,Final,,5/21/18,Fish and Wildlife Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249984,6/21/18,Brian Collins,619-575-2704
20180102,Coral Habitat Areas Considered for Habitat Areas of Particular Concern Designation in the Gulf of Mexico,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249965,Draft,,5/21/18,National Marine Fisheries Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249965,7/5/18,Lauren Waters,727-209-5991
20180101,SR 710 North Study FRDEIR/SDEIS_05-09-18,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249949,Draft Supplement,,5/21/18,California Department of Transit,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249949,7/5/18,Jason Roach,213-897-0357
20180100,CP District-wide Salvage Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249904,Final,,5/21/18,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249904,7/5/18,Mike Tooley,719-274-6321
20180099,Tucson International Airport - Airfield Safety Enhancement Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249854,Draft,,5/21/18,Federal Aviation Administration,AZ,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249854,7/9/18,"David B. Kessler, AICP",310-725-3615
